Date;Solar_Irradiance;Temperature;Humidity;Wind_Speed;Precipitation;Sunlight_Hours;Solar_Energy
20200101;4,87;18,87;85,65;1,02;1,67;6,09;19,96
20200102;6,01;19,03;84,94;1,18;0,95;7,51;24,6
20200103;6,18;19,09;77,95;1,11;0,13;7,73;25,32
20200104;6,34;18,6;79,6;1,42;0;7,93;26,02
20200105;6,23;18,42;86,14;1,7;0;7,79;25,58
20200106;6,07;18,8;85,41;1,43;0;7,59;24,88
20200107;6,39;18,91;77,86;1,27;0;7,99;26,2
20200108;6,22;17,81;72,74;1,4;0;7,77;25,59
20200109;6,56;18,09;74,42;1,74;0;8,2;26,98
20200110;6,76;16,7;72,36;2,72;0;8,45;27,93
20200111;5,61;17,68;74,01;1,85;0;7,01;23,09
20200112;5,25;18,63;76,33;1,64;0;6,57;21,55
20200113;6,38;19,32;75,33;1,7;0;7,97;26,1
20200114;5,18;19,32;75,45;1,37;0;6,47;21,19
20200115;5,49;19,32;76,57;1,42;0;6,87;22,47
20200116;4,24;19,57;74,93;2,12;1;5,3;17,33
20200117;4,05;19,9;75,06;2,99;2,72;5,06;16,52
20200118;4,91;20,24;73,72;2,34;0,52;6,14;20,01
20200119;4,73;20,84;75,52;1,93;1,57;5,91;19,22
20200120;3,82;19,4;83,65;0,77;0,94;4,78;15,63
20200121;3,34;18,68;86,75;0,9;2,92;4,18;13,72
20200122;3,32;17,85;86,16;1,37;0,92;4,15;13,67
20200123;5,01;18,35;83,55;1,6;0,04;6,26;20,57
20200124;4,04;18,07;84,76;1,1;0,69;5,05;16,62
20200125;4,81;18,65;85,63;0,75;2,78;6,02;19,74
20200126;4,6;19,47;81,07;0,91;3,11;5,74;18,79
20200127;5,16;18,67;88,55;1,06;2,56;6,44;21,14
20200128;5,29;18,51;84,51;1,29;0,59;6,61;21,7
20200129;5,84;18,78;82,71;1,33;0,34;7,3;23,95
20200130;5,3;19,49;75,61;1,38;0,06;6,62;21,65
20200131;4,94;19,23;73,25;1,79;0;6,17;20,21
20200201;4,32;20,38;77,07;0,78;1,03;5,4;17,6
20200202;5;20,2;76,48;0,76;1,02;6,25;20,39
20200203;5,96;19,12;73,95;1,85;0,02;7,45;24,4
20200204;6,44;17,96;67,71;1,89;0;8,05;26,48
20200205;7,15;17,87;62,57;1,57;0;8,94;29,43
20200206;7,1;17,66;66,47;1,74;0;8,88;29,24
20200207;6,3;18,63;65,5;1,15;0;7,87;25,83
20200208;5,18;18,63;80,12;1,28;6,22;6,47;21,23
20200209;5,91;18,86;82,33;1,22;36,81;7,39;24,24
20200210;6,89;18,65;71,53;2,39;1,89;8,62;28,27
20200211;7,12;17,91;69,91;2,34;0;8,91;29,31
20200212;6,84;18,94;72,96;1,78;0;8,56;28,04
20200213;6,14;20,16;74,58;1,09;0,12;7,67;25,02
20200214;4,62;20;78,78;1;1,29;5,78;18,86
20200215;4,83;19,48;73,27;2,06;0,61;6,04;19,74
20200216;5,84;19,11;71,58;1,94;0,41;7,3;23,92
20200217;5,88;19,26;72,19;2,63;0,19;7,35;24,05
20200218;6,44;20,57;72,22;2,29;0;8,05;26,22
20200219;4,47;21,17;76,35;0,93;0,35;5,58;18,13
20200220;4,51;20,8;74,91;1,07;0,54;5,64;18,34
20200221;4,95;19,55;82,79;0,92;8,87;6,19;20,25
20200222;3,54;19,49;86,02;0,77;4,54;4,43;14,48
20200223;3,4;19,78;84,35;0,81;29,72;4,25;13,88
20200224;3,17;18,99;89,67;0,64;19,79;3,96;12,99
20200225;4,77;19,27;87,87;0,55;8,07;5,96;19,52
20200226;4,03;18,14;89,78;1;3,69;5,04;16,58
20200227;5,46;18,59;85,6;1,05;0,43;6,82;22,4
20200228;4,92;19,57;81,7;1,11;0,17;6,15;20,11
20200229;4,68;20;78,11;0,88;6,61;5,86;19,11
20200301;4,59;20,3;79,6;0,93;8,94;5,74;18,71
20200302;5,24;20,09;80,36;0,86;4,62;6,55;21,38
20200303;5,27;20,72;79,1;0,83;3,88;6,58;21,43
20200304;6,14;20,28;75,95;1,23;0,04;7,68;25,03
20200305;6,52;18,8;68,05;1,69;0;8,15;26,74
20200306;5,94;19,13;66,83;1,06;0,06;7,42;24,32
20200307;4,29;19,99;75,75;0,97;0,7;5,36;17,5
20200308;3,85;19,83;84,17;0,89;1,15;4,81;15,71
20200309;3,43;19,66;82,42;0,9;7,91;4,29;14,03
20200310;4,83;20,06;78,56;0,97;8,22;6,04;19,72
20200311;5,23;19,9;80,13;0,84;2,49;6,54;21,36
20200312;3,81;20,04;81,05;0,77;0,68;4,76;15,52
20200313;4,49;19,44;85,1;0,61;8,85;5,61;18,36
20200314;3,64;18,09;89,5;0,71;10,63;4,54;14,94
20200315;3,51;19,02;86,36;0,73;11,8;4,39;14,37
20200316;4,59;19,04;83,61;1,16;2,47;5,74;18,81
20200317;5,57;19,01;82,07;1,25;0,63;6,96;22,8
20200318;4,96;19,28;81,19;1,04;0,11;6,2;20,29
20200319;4,73;19,53;77;1,02;0,14;5,91;19,32
20200320;3,32;18,18;84,22;1,69;0,53;4,15;13,65
20200321;5,65;16,98;86,75;1,29;0,3;7,06;23,31
20200322;6,31;18,41;73,9;1,27;0,07;7,88;25,89
20200323;4,29;18,8;77,69;1,05;0,87;5,36;17,57
20200324;3,26;18,82;84,67;0,74;1,87;4,08;13,37
20200325;4,87;19,41;82,48;0,79;2,49;6,09;19,92
20200326;4,38;19;84,98;1,35;1,29;5,48;17,94
20200327;4,96;19,17;81,4;1,38;0,12;6,2;20,32
20200328;4,87;19,86;78,31;1,24;0,01;6,08;19,86
20200329;4,48;19,83;76,25;1,44;0,94;5,61;18,31
20200330;2,92;20,23;78,76;1,29;11,06;3,65;11,91
20200331;3,84;19,93;80,71;0,57;13,14;4,81;15,69
20200401;2,89;19,55;84,81;0,83;14,74;3,61;11,8
20200402;4,45;20,05;80,87;0,7;2,73;5,56;18,15
20200403;5,47;20,15;77,34;1,03;0,09;6,83;22,3
20200404;4,56;20,78;78,15;0,68;7,15;5,7;18,55
20200405;4,1;21,19;78,32;0,67;5,44;5,13;16,65
20200406;4,16;20,28;79,01;1,28;12,26;5,21;16,97
20200407;4,47;20,68;73,7;1,44;4,41;5,59;18,19
20200408;5,14;20,38;76,21;0,88;0,07;6,43;20,95
20200409;4,64;19,45;83,72;0,86;5,97;5,8;18,97
20200410;4,81;20,39;78,21;0,78;0,98;6,01;19,6
20200411;3,77;20,68;78,55;0,8;4,67;4,72;15,36
20200412;3,38;20,74;76,01;1,2;0,51;4,22;13,75
20200413;6,2;20,16;73,87;1,36;0,86;7,75;25,29
20200414;5,39;19,28;83,26;1,56;2,11;6,74;22,05
20200415;5,02;18,32;85,16;1,18;0,85;6,27;20,61
20200416;4,46;18,18;81,31;0,81;1,06;5,58;18,34
20200417;3,26;19,15;80,77;0,64;11,88;4,08;13,35
20200418;4,36;18,6;83,28;0,76;6,4;5,46;17,91
20200419;4,95;18,82;82,9;0,83;10,67;6,18;20,27
20200420;5,81;19,34;79,96;0,83;10,99;7,27;23,78
20200421;4,28;19,01;82,14;0,77;10,41;5,35;17,52
20200422;4,41;18,77;86,34;0,65;7,3;5,51;18,07
20200423;4,28;19,28;81,25;0,52;8,22;5,35;17,51
20200424;5,04;18,83;83,3;0,81;1,02;6,3;20,67
20200425;5;18,84;87,42;0,56;1,53;6,25;20,49
20200426;5,89;19,72;74,68;0,92;0,44;7,36;24,06
20200427;5,13;19,93;70,72;1,17;1,5;6,41;20,92
